GSK_REG_NO,MOLREGNO,CHEMBL_ID,INCHI,SMILES,PARENT_CHEMBL_ID,PARENT_INCHI,PARENT_SMILES,TARGETS,TARGET_CHEMBL_IDS,REF_CHEMBL_ID,REFERENCE,PUBMED_ID
GW301784X,440636,CHEMBL410072,"InChI=1S/C20H23N5O5S/c1-20(2,11-26)10-22-18(27)12-3-8-16-15(9-12)17(19(28)23-16)25-24-13-4-6-14(7-5-13)31(21,29)30/h3-9,24,26H,10-11H2,1-2H3,(H,22,27)(H2,21,29,30)(H,23,25,28)",CC(C)(CO)CNC(=O)c1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CHEMBL410072,"InChI=1S/C20H23N5O5S/c1-20(2,11-26)10-22-18(27)12-3-8-16-15(9-12)17(19(28)23-16)25-24-13-4-6-14(7-5-13)31(21,29)30/h3-9,24,26H,10-11H2,1-2H3,(H,22,27)(H2,21,29,30)(H,23,25,28)",CC(C)(CO)CNC(=O)c1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW301789X,1157687,CHEMBL1794056,"InChI=1S/C17H13N5O/c23-17-15(14-3-1-2-4-16(14)21-17)9-19-12-5-7-13(8-6-12)22-11-18-10-20-22/h1-11,19H,(H,21,23)/b15-9-",O=C1Nc2ccccc2/C/1=C/Nc3ccc(cc3)n4cncn4,CHEMBL1794056,"InChI=1S/C17H13N5O/c23-17-15(14-3-1-2-4-16(14)21-17)9-19-12-5-7-13(8-6-12)22-11-18-10-20-22/h1-11,19H,(H,21,23)/b15-9-",O=C1Nc2ccccc2/C/1=C/Nc3ccc(cc3)n4cncn4,TRKA,CHEMBL2815,CHEMBL1147447,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
GW301888X,534630,CHEMBL531804,"InChI=1S/C23H21N7/c1-30(2)22-12-17-20(13-24-22)25-14-26-23(17)27-16-8-9-18-19(11-16)29-21(28-18)10-15-6-4-3-5-7-15/h3-9,11-14H,10H2,1-2H3,(H,28,29)(H,25,26,27)",CN(C)c1cc2c(Nc3ccc4nc(Cc5ccccc5)[nH]c4c3)ncnc2cn1,CHEMBL531804,"InChI=1S/C23H21N7/c1-30(2)22-12-17-20(13-24-22)25-14-26-23(17)27-16-8-9-18-19(11-16)29-21(28-18)10-15-6-4-3-5-7-15/h3-9,11-14H,10H2,1-2H3,(H,28,29)(H,25,26,27)",CN(C)c1cc2c(Nc3ccc4nc(Cc5ccccc5)[nH]c4c3)ncnc2cn1,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1134080,"Bioorg. Med. Chem. Lett., 11, p. 1401 (2001)",11378364
GW305074X,1221310,CHEMBL1880739,"InChI=1S/C15H8Br2INO2/c16-11-4-7(5-12(17)14(11)20)3-10-9-6-8(18)1-2-13(9)19-15(10)21/h1-6,20H,(H,19,21)",Oc1c(Br)cc(C=C2C(=O)Nc3ccc(I)cc23)cc1Br,CHEMBL1880739,"InChI=1S/C15H8Br2INO2/c16-11-4-7(5-12(17)14(11)20)3-10-9-6-8(18)1-2-13(9)19-15(10)21/h1-6,20H,(H,19,21)",Oc1c(Br)cc(C=C2C(=O)Nc3ccc(I)cc23)cc1Br,c-RAF,CHEMBL1906,CHEMBL1133034,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
GW305178X,441192,CHEMBL409892,"InChI=1S/C17H13N5O3S/c18-26(24,25)11-5-3-10(4-6-11)21-22-16-15-12-2-1-9-19-13(12)7-8-14(15)20-17(16)23/h1-9,21H,(H2,18,24,25)(H,20,22,23)",NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1,CHEMBL409892,"InChI=1S/C17H13N5O3S/c18-26(24,25)11-5-3-10(4-6-11)21-22-16-15-12-2-1-9-19-13(12)7-8-14(15)20-17(16)23/h1-9,21H,(H2,18,24,25)(H,20,22,23)",NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW335962X,441006,CHEMBL405042,"InChI=1S/C16H15N3O3S/c1-10(15-13-4-2-3-5-14(13)19-16(15)20)18-11-6-8-12(9-7-11)23(17,21)22/h2-9,18H,1H3,(H,19,20)(H2,17,21,22)/b15-10-",C\C(=C/1\C(=O)Nc2ccccc12)\Nc3ccc(cc3)S(=O)(=O)N,CHEMBL405042,"InChI=1S/C16H15N3O3S/c1-10(15-13-4-2-3-5-14(13)19-16(15)20)18-11-6-8-12(9-7-11)23(17,21)22/h2-9,18H,1H3,(H,19,20)(H2,17,21,22)/b15-10-",C\C(=C/1\C(=O)Nc2ccccc12)\Nc3ccc(cc3)S(=O)(=O)N,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW352430A,1249170,CHEMBL1909399,"InChI=1S/C21H19N5O3S.ClH/c22-30(28,29)17-8-6-16(7-9-17)25-26-20-19-15(2-1-3-18(19)24-21(20)27)5-4-14-10-12-23-13-11-14;/h1-3,6-13,25H,4-5H2,(H2,22,28,29)(H,24,26,27);1H",Cl.NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(CCc4ccncc4)c23)cc1,CHEMBL1794054,"InChI=1S/C21H19N5O3S/c22-30(28,29)17-8-6-16(7-9-17)25-26-20-19-15(2-1-3-18(19)24-21(20)27)5-4-14-10-12-23-13-11-14/h1-3,6-13,25H,4-5H2,(H2,22,28,29)(H,24,26,27)",NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(CCc4ccncc4)c23)cc1,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW396574X,440844,CHEMBL270544,"InChI=1S/C18H18N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-10,21H,1-2H3,(H2,19,24,25)(H,20,22,23)",CC(=Cc1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12)C,CHEMBL270544,"InChI=1S/C18H18N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-10,21H,1-2H3,(H2,19,24,25)(H,20,22,23)",CC(=Cc1cccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c12)C,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW405841X,1157683,CHEMBL1794052,"InChI=1S/C17H11Br2NO4/c1-24-17(23)9-2-3-14-10(7-9)11(16(22)20-14)4-8-5-12(18)15(21)13(19)6-8/h2-7,21H,1H3,(H,20,22)",COC(=O)c1ccc2NC(=O)C(=Cc3cc(Br)c(O)c(Br)c3)c2c1,CHEMBL1794052,"InChI=1S/C17H11Br2NO4/c1-24-17(23)9-2-3-14-10(7-9)11(16(22)20-14)4-8-5-12(18)15(21)13(19)6-8/h2-7,21H,1H3,(H,20,22)",COC(=O)c1ccc2NC(=O)C(=Cc3cc(Br)c(O)c(Br)c3)c2c1,c-RAF,CHEMBL1906,CHEMBL1133034,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
GW406108X,1153594,CHEMBL1789963,"InChI=1S/C20H11Cl2NO4/c21-14-7-10(8-15(22)19(14)25)6-13-12-9-11(3-4-16(12)23-20(13)26)18(24)17-2-1-5-27-17/h1-9,25H,(H,23,26)",Oc1c(Cl)cc(C=C2C(=O)Nc3ccc(cc23)C(=O)c4occc4)cc1Cl,CHEMBL1789963,"InChI=1S/C20H11Cl2NO4/c21-14-7-10(8-15(22)19(14)25)6-13-12-9-11(3-4-16(12)23-20(13)26)18(24)17-2-1-5-27-17/h1-9,25H,(H,23,26)",Oc1c(Cl)cc(C=C2C(=O)Nc3ccc(cc23)C(=O)c4occc4)cc1Cl,c-RAF,CHEMBL1906,CHEMBL1133034,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
GW406731X,364136,CHEMBL220243,"InChI=1S/C17H17NO3/c1-11-6-15(19)7-12(2)16(11)5-4-13-8-14(10-18-9-13)17(20)21-3/h4-10,19H,1-3H3/b5-4+",COC(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1,CHEMBL220243,"InChI=1S/C17H17NO3/c1-11-6-15(19)7-12(2)16(11)5-4-13-8-14(10-18-9-13)17(20)21-3/h4-10,19H,1-3H3/b5-4+",COC(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW407323A,1157684,CHEMBL1794053,"InChI=1S/C18H11Br2N3O2S.ClH/c19-12-4-8(5-13(20)16(12)24)3-11-10-6-9(15-7-26-18(21)23-15)1-2-14(10)22-17(11)25;/h1-7,24H,(H2,21,23)(H,22,25);1H",Cl.Nc1nc(cs1)c2ccc3NC(=O)C(=Cc4cc(Br)c(O)c(Br)c4)c3c2,CHEMBL1852697,"InChI=1S/C18H11Br2N3O2S/c19-12-4-8(5-13(20)16(12)24)3-11-10-6-9(15-7-26-18(21)23-15)1-2-14(10)22-17(11)25/h1-7,24H,(H2,21,23)(H,22,25)",Nc1nc(cs1)c2ccc3NC(=O)C(=Cc4cc(Br)c(O)c(Br)c4)c3c2,c-RAF,CHEMBL1906,CHEMBL1133034,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
GW410563A,1249128,CHEMBL1909357,"InChI=1S/C17H17N3O3.ClH/c1-10-4-5-11(6-14(10)21)20-17-12-7-15(22-2)16(23-3)8-13(12)18-9-19-17;/h4-9,21H,1-3H3,(H,18,19,20);1H",Cl.COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC,CHEMBL478442,"InChI=1S/C17H17N3O3/c1-10-4-5-11(6-14(10)21)20-17-12-7-15(22-2)16(23-3)8-13(12)18-9-19-17/h4-9,21H,1-3H3,(H,18,19,20)",COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC,VEGFR2,CHEMBL279,CHEMBL1155848,"J. Med. Chem., 51, p. 4632 (2008)",18620382
GW416469X,440911,CHEMBL272414,"InChI=1S/C17H18N4O3S/c1-21(2)12-5-8-16-14(9-12)15(17(22)20-16)10-19-11-3-6-13(7-4-11)25(18,23)24/h3-10,19H,1-2H3,(H,20,22)(H2,18,23,24)/b15-10-",CN(C)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CHEMBL272414,"InChI=1S/C17H18N4O3S/c1-21(2)12-5-8-16-14(9-12)15(17(22)20-16)10-19-11-3-6-13(7-4-11)25(18,23)24/h3-10,19H,1-2H3,(H,20,22)(H2,18,23,24)/b15-10-",CN(C)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW416981X,440799,CHEMBL269883,"InChI=1S/C20H21N3O5S/c1-12(2)11-28-20(25)13-3-8-18-16(9-13)17(19(24)23-18)10-22-14-4-6-15(7-5-14)29(21,26)27/h3-10,12,22H,11H2,1-2H3,(H,23,24)(H2,21,26,27)/b17-10-",CC(C)COC(=O)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CHEMBL269883,"InChI=1S/C20H21N3O5S/c1-12(2)11-28-20(25)13-3-8-18-16(9-13)17(19(24)23-18)10-22-14-4-6-15(7-5-14)29(21,26)27/h3-10,12,22H,11H2,1-2H3,(H,23,24)(H2,21,26,27)/b17-10-",CC(C)COC(=O)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CDK2,CHEMBL301,CHEMBL1134300,"J. Med. Chem., 44, p. 4339 (2001)",11728181
GW427984X,364137,CHEMBL220244,"InChI=1S/C18H20N2O2/c1-12-7-16(21)8-13(2)17(12)6-5-14-9-15(11-19-10-14)18(22)20(3)4/h5-11,21H,1-4H3/b6-5+",CN(C)C(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1,CHEMBL220244,"InChI=1S/C18H20N2O2/c1-12-7-16(21)8-13(2)17(12)6-5-14-9-15(11-19-10-14)18(22)20(3)4/h5-11,21H,1-4H3/b6-5+",CN(C)C(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW429374A,1157681,CHEMBL1794050,"InChI=1S/C20H12Br2N2O2.ClH/c21-16-7-11(8-17(22)19(16)25)6-15-14-9-12(13-2-1-5-23-10-13)3-4-18(14)24-20(15)26;/h1-10,25H,(H,24,26);1H",Cl.Oc1c(Br)cc(C=C2C(=O)Nc3ccc(cc23)c4cccnc4)cc1Br,CHEMBL1851668,"InChI=1S/C20H12Br2N2O2/c21-16-7-11(8-17(22)19(16)25)6-15-14-9-12(13-2-1-5-23-10-13)3-4-18(14)24-20(15)26/h1-10,25H,(H,24,26)",Oc1c(Br)cc(C=C2C(=O)Nc3ccc(cc23)c4cccnc4)cc1Br,c-RAF,CHEMBL1906,CHEMBL1133034,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
GW432441X,364182,CHEMBL218932,"InChI=1S/C19H21N3O3/c1-12-7-16(25-19(24)21-4)8-13(2)17(12)6-5-14-9-15(11-22-10-14)18(23)20-3/h5-11H,1-4H3,(H,20,23)(H,21,24)/b6-5+",CNC(=O)Oc1cc(C)c(\C=C\c2cncc(c2)C(=O)NC)c(C)c1,CHEMBL218932,"InChI=1S/C19H21N3O3/c1-12-7-16(25-19(24)21-4)8-13(2)17(12)6-5-14-9-15(11-22-10-14)18(23)20-3/h5-11H,1-4H3,(H,20,23)(H,21,24)/b6-5+",CNC(=O)Oc1cc(C)c(\C=C\c2cncc(c2)C(=O)NC)c(C)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW434756X,516400,CHEMBL485745,InChI=1S/C18H12FN3/c19-15-6-4-14(5-7-15)18-17(13-8-10-20-11-9-13)16-3-1-2-12-22(16)21-18/h1-12H,Fc1ccc(cc1)c2nn3ccccc3c2c4ccncc4,CHEMBL485745,InChI=1S/C18H12FN3/c19-15-6-4-14(5-7-15)18-17(13-8-10-20-11-9-13)16-3-1-2-12-22(16)21-18/h1-12H,Fc1ccc(cc1)c2nn3ccccc3c2c4ccncc4,p38a,CHEMBL260,CHEMBL1152233,"Bioorg. Med. Chem. Lett., 18, p. 5428 (2008)",18818075
GW435821X,364146,CHEMBL218088,"InChI=1S/C16H16N2O2/c1-10-5-14(19)6-11(2)15(10)4-3-12-7-13(16(17)20)9-18-8-12/h3-9,19H,1-2H3,(H2,17,20)/b4-3+",Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)C(=O)N,CHEMBL218088,"InChI=1S/C16H16N2O2/c1-10-5-14(19)6-11(2)15(10)4-3-12-7-13(16(17)20)9-18-8-12/h3-9,19H,1-2H3,(H2,17,20)/b4-3+",Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)C(=O)N,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW439255X,364152,CHEMBL374060,"InChI=1S/C20H23NO3/c1-13-8-17(22)9-14(2)18(13)7-6-15-10-16(12-21-11-15)19(23)24-20(3,4)5/h6-12,22H,1-5H3/b7-6+",Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)C(=O)OC(C)(C)C,CHEMBL374060,"InChI=1S/C20H23NO3/c1-13-8-17(22)9-14(2)18(13)7-6-15-10-16(12-21-11-15)19(23)24-20(3,4)5/h6-12,22H,1-5H3/b7-6+",Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)C(=O)OC(C)(C)C,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW440139A,534240,CHEMBL581096,"InChI=1S/C21H17N3O.ClH/c1-14-5-7-16(25)13-20(14)24-19-9-11-23-21-12-15(6-8-17(19)21)18-4-2-3-10-22-18;/h2-13,25H,1H3,(H,23,24);1H",Cl.Cc1ccc(O)cc1Nc2ccnc3cc(ccc23)c4ccccn4,CHEMBL395358,"InChI=1S/C21H17N3O/c1-14-5-7-16(25)13-20(14)24-19-9-11-23-21-12-15(6-8-17(19)21)18-4-2-3-10-22-18/h2-13,25H,1H3,(H,23,24)",Cc1ccc(O)cc1Nc2ccnc3cc(ccc23)c4ccccn4,RET,CHEMBL2041,CHEMBL1137530,"Bioorg. Med. Chem. Lett., 17, p. 5886 (2007)",17884497
GW441756X,940774,CHEMBL1516890,"InChI=1S/C17H13N3O/c1-20-10-11(12-5-2-3-7-15(12)20)9-13-16-14(19-17(13)21)6-4-8-18-16/h2-10H,1H3,(H,19,21)",Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,CHEMBL1516890,"InChI=1S/C17H13N3O/c1-20-10-11(12-5-2-3-7-15(12)20)9-13-16-14(19-17(13)21)6-4-8-18-16/h2-10H,1H3,(H,19,21)",Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,TRKA,CHEMBL2815,CHEMBL1147447,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
GW441806A,1249123,CHEMBL1909352,"InChI=1S/C16H15N5O.ClH/c1-10-5-14(22)6-11(2)15(10)4-3-12-7-13(9-17-8-12)16-18-20-21-19-16;/h3-9,22H,1-2H3,(H,18,19,20,21);1H/b4-3+;",Cl.Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3,CHEMBL218791,"InChI=1S/C16H15N5O/c1-10-5-14(22)6-11(2)15(10)4-3-12-7-13(9-17-8-12)16-18-20-21-19-16/h3-9,22H,1-2H3,(H,18,19,20,21)/b4-3+",Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW442130X,291899,CHEMBL176857,"InChI=1S/C21H14Br2N2O3/c1-28-18-5-3-2-4-13(18)14-6-11(8-17(23)19(14)26)7-16-15-9-12(22)10-24-20(15)25-21(16)27/h2-10,26H,1H3,(H,24,25,27)/b16-7-",COc1ccccc1c2cc(\C=C\3/C(=O)Nc4ncc(Br)cc34)cc(Br)c2O,CHEMBL176857,"InChI=1S/C21H14Br2N2O3/c1-28-18-5-3-2-4-13(18)14-6-11(8-17(23)19(14)26)7-16-15-9-12(22)10-24-20(15)25-21(16)27/h2-10,26H,1H3,(H,24,25,27)/b16-7-",COc1ccccc1c2cc(\C=C\3/C(=O)Nc4ncc(Br)cc34)cc(Br)c2O,TRKA,CHEMBL2815,CHEMBL1147447,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
GW445012X,364145,CHEMBL218859,"InChI=1S/C17H18N2O/c1-12-5-4-6-13(2)16(12)8-7-14-9-15(11-19-10-14)17(20)18-3/h4-11H,1-3H3,(H,18,20)/b8-7+",CNC(=O)c1cncc(\C=C\c2c(C)cccc2C)c1,CHEMBL218859,"InChI=1S/C17H18N2O/c1-12-5-4-6-13(2)16(12)8-7-14-9-15(11-19-10-14)17(20)18-3/h4-11H,1-3H3,(H,18,20)/b8-7+",CNC(=O)c1cncc(\C=C\c2c(C)cccc2C)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW445014X,364154,CHEMBL263796,"InChI=1S/C15H12Cl2N2O/c1-18-15(20)11-7-10(8-19-9-11)5-6-12-13(16)3-2-4-14(12)17/h2-9H,1H3,(H,18,20)/b6-5+",CNC(=O)c1cncc(\C=C\c2c(Cl)cccc2Cl)c1,CHEMBL263796,"InChI=1S/C15H12Cl2N2O/c1-18-15(20)11-7-10(8-19-9-11)5-6-12-13(16)3-2-4-14(12)17/h2-9H,1H3,(H,18,20)/b6-5+",CNC(=O)c1cncc(\C=C\c2c(Cl)cccc2Cl)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW445015X,364162,CHEMBL218969,"InChI=1S/C16H16N2O/c1-12-5-3-4-6-14(12)8-7-13-9-15(11-18-10-13)16(19)17-2/h3-11H,1-2H3,(H,17,19)/b8-7+",CNC(=O)c1cncc(\C=C\c2ccccc2C)c1,CHEMBL218969,"InChI=1S/C16H16N2O/c1-12-5-3-4-6-14(12)8-7-13-9-15(11-18-10-13)16(19)17-2/h3-11H,1-2H3,(H,17,19)/b8-7+",CNC(=O)c1cncc(\C=C\c2ccccc2C)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW445017X,364163,CHEMBL218970,"InChI=1S/C15H13ClN2O/c1-17-15(19)13-8-11(9-18-10-13)6-7-12-4-2-3-5-14(12)16/h2-10H,1H3,(H,17,19)/b7-6+",CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,CHEMBL218970,"InChI=1S/C15H13ClN2O/c1-17-15(19)13-8-11(9-18-10-13)6-7-12-4-2-3-5-14(12)16/h2-10H,1H3,(H,17,19)/b7-6+",CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW450241X,364153,CHEMBL385426,"InChI=1S/C19H22N2O/c1-4-15-7-6-8-16(5-2)18(15)10-9-14-11-17(13-21-12-14)19(22)20-3/h6-13H,4-5H2,1-3H3,(H,20,22)/b10-9+",CCc1cccc(CC)c1\C=C\c2cncc(c2)C(=O)NC,CHEMBL385426,"InChI=1S/C19H22N2O/c1-4-15-7-6-8-16(5-2)18(15)10-9-14-11-17(13-21-12-14)19(22)20-3/h6-13H,4-5H2,1-3H3,(H,20,22)/b10-9+",CCc1cccc(CC)c1\C=C\c2cncc(c2)C(=O)NC,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW458344A,1249124,CHEMBL1909353,"InChI=1S/C20H17N5O.ClH/c1-13-8-16(19-4-3-7-26-19)9-14(2)18(13)6-5-15-10-17(12-21-11-15)20-22-24-25-23-20;/h3-12H,1-2H3,(H,22,23,24,25);1H/b6-5+;",Cl.Cc1cc(cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3)c4occc4,CHEMBL373576,"InChI=1S/C20H17N5O/c1-13-8-16(19-4-3-7-26-19)9-14(2)18(13)6-5-15-10-17(12-21-11-15)20-22-24-25-23-20/h3-12H,1-2H3,(H,22,23,24,25)/b6-5+",Cc1cc(cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3)c4occc4,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW458787A,1249156,CHEMBL1909385,"InChI=1S/C29H28N4O4S.ClH/c1-38(34,35)16-15-30-18-25-12-14-28(37-25)22-7-13-27-26(17-22)29(32-20-31-27)33-23-8-10-24(11-9-23)36-19-21-5-3-2-4-6-21;/h2-14,17,20,30H,15-16,18-19H2,1H3,(H,31,32,33);1H",Cl.CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2,CHEMBL213342,"InChI=1S/C29H28N4O4S/c1-38(34,35)16-15-30-18-25-12-14-28(37-25)22-7-13-27-26(17-22)29(32-20-31-27)33-23-8-10-24(11-9-23)36-19-21-5-3-2-4-6-21/h2-14,17,20,30H,15-16,18-19H2,1H3,(H,31,32,33)",CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1149340,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
GW459057A,1249125,CHEMBL1909354,"InChI=1S/C21H18N6.ClH/c1-14-9-17(20-5-3-4-8-23-20)10-15(2)19(14)7-6-16-11-18(13-22-12-16)21-24-26-27-25-21;/h3-13H,1-2H3,(H,24,25,26,27);1H/b7-6+;",Cl.Cc1cc(cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3)c4ccccn4,CHEMBL374680,"InChI=1S/C21H18N6/c1-14-9-17(20-5-3-4-8-23-20)10-15(2)19(14)7-6-16-11-18(13-22-12-16)21-24-26-27-25-21/h3-13H,1-2H3,(H,24,25,26,27)/b7-6+",Cc1cc(cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3)c4ccccn4,c-RAF,CHEMBL1906,CHEMBL1137278,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
GW461104A,1249126,CHEMBL1909355,"InChI=1S/C21H19ClFN5O2S2.ClH/c1-32(29,30)7-6-24-10-20-28-19(11-31-20)13-2-5-18-15(8-13)21(26-12-25-18)27-14-3-4-17(23)16(22)9-14;/h2-5,8-9,11-12,24H,6-7,10H2,1H3,(H,25,26,27);1H",Cl.CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2,CHEMBL516375,"InChI=1S/C21H19ClFN5O2S2/c1-32(29,30)7-6-24-10-20-28-19(11-31-20)13-2-5-18-15(8-13)21(26-12-25-18)27-14-3-4-17(23)16(22)9-14/h2-5,8-9,11-12,24H,6-7,10H2,1H3,(H,25,26,27)",CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1136583,"Bioorg. Med. Chem. Lett., 13, p. 637 (2003)",12639547
GW513184X,1153592,CHEMBL1789961,"InChI=1S/C19H16N6O2/c1-27-17-9-13(7-8-16(17)26)10-22-24-18-15-11-23-25(19(15)21-12-20-18)14-5-3-2-4-6-14/h2-12,26H,1H3,(H,20,21,24)",COc1cc(C=NNc2ncnc3c2cnn3c4ccccc4)ccc1O,CHEMBL1789961,"InChI=1S/C19H16N6O2/c1-27-17-9-13(7-8-16(17)26)10-22-24-18-15-11-23-25(19(15)21-12-20-18)14-5-3-2-4-6-14/h2-12,26H,1H3,(H,20,21,24)",COc1cc(C=NNc2ncnc3c2cnn3c4ccccc4)ccc1O,GSK3b,CHEMBL262,CHEMBL1147546,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
GW549034X,314973,CHEMBL365286,"InChI=1S/C11H11N5O/c1-2-16-8-6-4-3-5-7(8)13-11(16)9-10(12)15-17-14-9/h3-6H,2H2,1H3,(H2,12,15)",CCn1c(nc2ccccc12)c3nonc3N,CHEMBL365286,"InChI=1S/C11H11N5O/c1-2-16-8-6-4-3-5-7(8)13-11(16)9-10(12)15-17-14-9/h3-6H,2H2,1H3,(H2,12,15)",CCn1c(nc2ccccc12)c3nonc3N,MSK1,CHEMBL4237,CHEMBL1140255,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
